"date","value"
"8/29/2017","1"
"8/30/2017","3"
"9/6/2017","1"
"9/13/2017","1"
"9/16/2017","2"
"9/17/2017","1"
"9/20/2017","1"
"9/21/2017","1"
"9/24/2017","1"
"9/25/2017","1"
"9/26/2017","1"
"9/28/2017","1"
"9/30/2017","2"
"10/2/2017","3"
"10/3/2017","1"
"10/5/2017","1"
"10/6/2017","1"
"10/12/2017","3"
"10/16/2017","1"
"10/17/2017","1"
"10/18/2017","1"
"10/23/2017","1"
"10/26/2017","1"
"10/27/2017","1"
"10/28/2017","1"
"11/2/2017","1"
"11/5/2017","1"
"11/14/2017","2"
"11/15/2017","1"
"11/22/2017","1"
"11/26/2017","1"
"11/27/2017","1"
"11/30/2017","1"
"12/4/2017","1"
"12/5/2017","1"
"12/8/2017","1"
"12/10/2017","2"
"12/12/2017","4"
"12/13/2017","1"
"12/20/2017","1"
"12/22/2017","2"
"12/27/2017","2"
"12/31/2017","1"
"1/3/2018","1"
"1/5/2018","1"
"1/7/2018","1"
"1/10/2018","3"
"1/12/2018","1"
"1/13/2018","1"
"1/15/2018","3"
"1/26/2018","2"
"2/1/2018","1"
"2/2/2018","2"
"2/5/2018","1"
"2/7/2018","2"
"2/19/2018","1"
"2/27/2018","1"
"3/14/2018","2"
"3/16/2018","1"
"3/17/2018","1"
"3/20/2018","1"
"3/25/2018","1"
"3/27/2018","2"
"3/28/2018","3"
"3/29/2018","1"
"4/2/2018","4"
"4/3/2018","1"
"4/4/2018","1"
"4/6/2018","3"
"4/7/2018","2"
"4/9/2018","1"
"4/11/2018","1"
"4/12/2018","1"
"4/17/2018","1"
"4/18/2018","2"
"4/20/2018","1"
"4/22/2018","2"
"4/25/2018","2"
"4/26/2018","2"
"4/30/2018","1"
"5/5/2018","2"
"5/7/2018","2"
"5/10/2018","1"
"5/12/2018","1"
"5/17/2018","2"
"5/19/2018","1"
"6/1/2018","1"
"6/6/2018","2"
"6/12/2018","2"
"6/13/2018","1"
"6/17/2018","1"
"6/18/2018","1"
"6/19/2018","1"
"6/20/2018","2"
"6/24/2018","2"
"6/27/2018","1"
"6/30/2018","1"
"7/2/2018","1"
"7/12/2018","1"
"7/19/2018","1"
"7/21/2018","1"
"7/22/2018","1"
"7/23/2018","2"
"7/24/2018","2"
"7/26/2018","1"
"7/28/2018","3"
"7/29/2018","1"
"8/2/2018","6"
"8/3/2018","1"
"8/4/2018","1"
"8/5/2018","1"
"8/8/2018","4"
"8/9/2018","1"
"8/12/2018","1"
"8/18/2018","1"
"8/23/2018","2"
"8/28/2018","1"
"8/29/2018","1"
"8/31/2018","2"
"9/1/2018","1"
"9/2/2018","2"
"9/3/2018","1"
"9/4/2018","2"
"9/7/2018","1"
"9/10/2018","1"
"9/11/2018","1"
"9/14/2018","1"
"9/20/2018","4"
"9/25/2018","1"
"9/27/2018","1"
"9/29/2018","1"
"10/2/2018","1"
"10/3/2018","2"
"10/9/2018","1"
"10/10/2018","1"
"10/14/2018","1"
"10/22/2018","1"
"10/27/2018","1"
"10/28/2018","1"
"10/29/2018","1"
"11/6/2018","1"
"11/9/2018","1"
"11/13/2018","1"
"11/16/2018","1"
"11/17/2018","1"
"11/18/2018","1"
"11/23/2018","2"
"11/26/2018","1"
"11/29/2018","1"
"11/30/2018","2"
"12/1/2018","1"
"12/3/2018","1"
"12/4/2018","2"
"12/5/2018","1"
"12/6/2018","1"
"12/7/2018","1"
"12/13/2018","2"
"12/17/2018","1"
"12/18/2018","2"
"12/19/2018","1"
"12/20/2018","2"
"12/26/2018","1"
"12/28/2018","2"
"12/31/2018","1"
"1/1/2019","1"
"1/4/2019","1"
"1/7/2019","2"
"1/10/2019","1"
"1/11/2019","3"
"1/12/2019","2"
"1/19/2019","1"
"1/25/2019","1"
"1/29/2019","1"
"1/31/2019","1"
"2/3/2019","1"
"2/16/2019","1"
"2/23/2019","1"
"3/2/2019","1"
"3/5/2019","1"
"3/11/2019","2"
"3/13/2019","2"
"3/14/2019","2"
"3/18/2019","1"
"3/29/2019","2"
"3/30/2019","1"
"4/2/2019","1"
"4/3/2019","1"
"4/5/2019","1"
"4/7/2019","1"
"4/8/2019","1"
"4/26/2019","1"
"5/17/2019","1"
"5/25/2019","1"
"5/28/2019","1"
"5/29/2019","1"
"5/30/2019","1"
"6/6/2019","1"
"6/11/2019","1"
"6/17/2019","1"
"6/27/2019","1"
"7/3/2019","1"
"7/15/2019","1"
"7/18/2019","1"
"7/19/2019","2"
"7/21/2019","1"
